100000	蚕丝套装	130740001|130941001|130842001|130743001|130744001	100000000	100000001		
100001	初级魔法师套装	131240001|131241002|131242001	100000002			
100002	格朗布林的蚕丝套装	131343001|131241001|131244001	100000003			
100003	初级修行者套装	131640001|131541001|131842001|131743001|131744001		100000004		
100004	伽毕斯的皓月套装	132240001|132241001|132242002|132243001|132244001		100000005		
100005	圣日雷影套装	132740001|132741002|132742002|132743002|132744002				
100006	引魔套装	133240002|133241003|133242003|133243003|133244002		100000006		
100007	天帷巨兽 : 破曦套装	133240003|133241002|133242002|133243002|133244001		100000007		
100008	精灵祝福套装	133740002|133741001|133742001|133743001|133744001		100000008		
100009	暗黑城 : 逆翎套装	134240001|134241002|134242002|134243001|134244001		100000009		
100010	自然亲和套装	134240002|134241001|134242001|134243002|134244002		100000010		
100011	暗黑城 : 精灵的天脊套装	134740001|134741002|134742001|134743002|134744002		100000011		
100012	暗黑城 : 精灵的隐灵套装	134740002|134741003|134742002|134743003|134744003		100000012		
100013	远古旋魔套装	134740004|134741001|134742003|134743001|134744001		100000013		
100014	迷月玄羽套装	135440003|135441004|135442004|135443004|135444004		100000014		
100015	诺斯玛尔 : 破曦套装	135440001|135441003|135442003|135443003|135444003		100000015		
100016	诺斯玛尔 : 逆翎套装	135440002|135441002|135442002|135443002|135444002		100000016		
100017	传承 : 神圣的战争女神薄纱套装	145440001|145441001|145442001|144943001|144944001		100000017		
100018	兽皮套装	130850001|130851001|130752001|130753001|130754001		100000018		
100019	逐风套装	131250001|131251001|131252001	100000019			
100020	罪恶布法罗套装	132250001|132251001|132252001|132253001|132254001		100000020		
100021	风行骑士套装	132750001|132751001|132752001|132753001|132754001		100000021		
100022	炎蟒套装	133250001|133251001|133252001|133253001|133254001		100000022		
100023	天袭套装	133750001|133751003|133752001|133753001|133754001		100000023		
100024	暗袭套装	134250002|134251001|134252002|134253001|134254001	100000024	100000055		
100025	暗黑城 : 斩影套装	134250001|134251002|134252001|134253002|134254002		100000025		
100026	傲凰套装	134750001|134751001|134752001|134753002|134754002	100000026	100000027		
100027	暗黑城：精炼的夜麟套装	134750002|134751002|134752002|134753001|134754001		100000028		
100028	流光套装	135450002|135451002|135452002|135453002|135454002		100000029		
100029	诺斯玛尔 : 赤龙套装	135450001|135451001|135452001|135453001|135454001		100000030		
100030	传承 : 神圣的战争女神皮甲套装	145450001|145451001|145452001|144953001|144954001		100000031		
100031	初级战士套装	130770001|130771001|130673001	100000032			
100032	钢铁套装	121772001|131773001|131774001	100000033			
100033	暗黑蛇纹套装	132270001|132271001|132272001|132273001|132274001		100000034		
100034	西海岸高级重甲套装	132770001|132771001|132772001|132773001|132774001		100000035		
100035	绝望套装	133270001|133271001|133272001|133273001|133274001		100000036		
100036	天帷巨兽 : 戾龙重甲套装	133270002|133271002|133272002|133273002|133274002		100000037		
100037	天帷巨兽 : 斩影重甲套装	133270003|133271003|133272003|133273003|133274003		100000038		
100038	龙鸣套装	133770003|133771003|133772003|133773003|133774003		100000039		
100039	天帷巨兽 : 精灵的银刃重甲套装	133770001|133771001|133772001|133773001|133774001		100000040		
100040	天帷巨兽 : 精灵的苍蟒重甲套装	133770002|133771002|133772002|133773002|133774002		100000041		
100041	鳞岩套装	134270001|134271001|134272001|134273001|134274001		100000042		
100042	血啸套装	134270004|134271003|134272004|134273004|134274004		100000043		
100043	暗黑城 : 戾龙重甲套装	134270002|134271002|134272002|134273002|134274002		100000044		
100044	暗黑城 : 斩影重甲套装	134270003|134271004|134272003|134273003|134274003		100000045		
100045	紫金套装	134770001|134771001|134772001|134773001|134774001		100000046		
100046	EL-XM25套装	134770004|134771004|134772004|134773004|134774004		100000047		
100047	暗黑城 : 精灵的银刃重甲套装	134770002|134771002|134772002|134773002|134774002		100000048		
100048	暗黑城 : 精灵的苍蟒重甲套装	134770003|134771003|134772003|134773003|134774003		100000049		
100049	ES-YL11套装	135470001|135471001|135472001|135473001|135474001		100000050		
100050	怒灵诅咒套装	135470003|135471003|135472003|135473004|135474003		100000051		
100051	诺斯玛尔 : 戾龙重甲套装	135470004|135471004|135472004|135473003|135474004		100000052		
100052	诺斯玛尔 : 斩影重甲套装	135470002|135471002|135472002|135473002|135474002		100000053		
100053	传承 : 神圣的战争女神重甲套装	145470001|145471001|145472001|144973001|144974001		100000054		
100054	鬼剑士天空时装	500001001|500001002|500001003|500001004|500001005|500001006		120000003	120000001	120000002
100055	鬼剑士节庆时装	500002001|500002002|500002003|500002004|500002005		120000006	120000004	120000005
100056	鬼剑士高级时装	500003001|500003002|500003003|500003004|500003005		120000009	120000007	120000008
