1	1	-	50	50	50	80	80	80	120	120	120	150
2	2	-	-	1	1	1	2	2	3	3	3	3
3	3	-	-	-	100	100	150	150	200	200	250	250
4	4	-	0	0	0	60	80	100	120	120	140	200
5	5	-	-	-	-	5	7	9	11	13	15	15
6	6	-	-	-	-	-	-	-	-	-	-	-
7	7	-	-	-	-	-	-	-	-	-	-	-
8	8	-	-	-	-	-	-	-	-	-	-	-
9	9	-	5	15	15	15	15	15	15	15	15	15
10	10	-	-	-	-	-	-	-	-	-	-	-
11	11	-	50	100	150	200	250	300	320	400	400	450
12	12	-	-	-	-	-	-	-	-	-	-	-
13	13	-	1	1	1	1	1	1	1	1	1	1
14	14	-	1	1	1	1	1	1	1	1	1	1
15	15	6	8	8	10	10	12	12	12	12	12	14
16	16	-	-	-	-	-	-	-	-	-	-	-
17	17	-	-	-	-	-	-	-	-	-	-	-
18	18	-	1	1	1	1	1	1	1	1	1	1
19	19	3	10	15	20	25	30	40	50	70	80	80
