1	20	90	20_30_40_50_60	20_30_40_50_60	20_30_40_50_60	201_202_203_204
2	22	90	30_40_50_60_70	30_40_50_60_70	30_40_50_60_70	201_202_203_204
3	24	90	40_50_60_70_80	40_50_60_70_80	40_50_60_70_80	201_202_203_204
4	26	90	50_60_70_80_90	50_60_70_80_90	50_60_70_80_90	201_202_203_204
5	28	90	50_60_70_80_90	50_60_70_80_90	50_60_70_80_90	201_202_203_204
6	30	120	50_60_70_80_90	50_60_70_80_90	50_60_70_80_90	201_202_203_204
7	32	120	50_60_70_80_90	50_60_70_80_90	50_60_70_80_90	201_202_203_204
8	34	120	50_60_70_80_90	50_60_70_80_90	50_60_70_80_90	201_202_203_204
9	36	120	50_60_70_80_90	50_60_70_80_90	50_60_70_80_90	201_202_203_204
10	38	120	50_60_70_80_90	50_60_70_80_90	50_60_70_80_90	201_202_203_204
11	40	150	50_60_70_80_90	50_60_70_80_90	50_60_70_80_90	201_202_203_204
12	42	150	50_60_70_80_90	50_60_70_80_90	50_60_70_80_90	201_202_203_204
13	44	150	50_60_70_80_90	50_60_70_80_90	50_60_70_80_90	201_202_203_204
14	46	150	50_60_70_80_90	50_60_70_80_90	50_60_70_80_90	201_202_203_204
15	48	150	50_60_70_80_90	50_60_70_80_90	50_60_70_80_90	201_202_203_204
16	50	180	50_60_70_80_90	50_60_70_80_90	50_60_70_80_90	201_202_203_204
17	52	180	50_60_70_80_90	50_60_70_80_90	50_60_70_80_90	201_202_203_204
18	54	180	50_60_70_80_90	50_60_70_80_90	50_60_70_80_90	201_202_203_204
19	56	180	50_60_70_80_90	50_60_70_80_90	50_60_70_80_90	201_202_203_204
20	58	180	50_60_70_80_90	50_60_70_80_90	50_60_70_80_90	201_202_203_204
21	60	180	50_60_70_80_90	50_60_70_80_90	50_60_70_80_90	201_202_203_204
22	62	180	50_60_70_80_90	50_60_70_80_90	50_60_70_80_90	201_202_203_204
23	64	180	50_60_70_80_90	50_60_70_80_90	50_60_70_80_90	201_202_203_204
24	66	180	50_60_70_80_90	50_60_70_80_90	50_60_70_80_90	201_202_203_204
25	68	180	50_60_70_80_90	50_60_70_80_90	50_60_70_80_90	201_202_203_204
26	70	180	50_60_70_80_90	50_60_70_80_90	50_60_70_80_90	201_202_203_204
27	72	180	50_60_70_80_90	50_60_70_80_90	50_60_70_80_90	201_202_203_204
28	74	180	50_60_70_80_90	50_60_70_80_90	50_60_70_80_90	201_202_203_204
29	76	180	50_60_70_80_90	50_60_70_80_90	50_60_70_80_90	201_202_203_204
30	78	180	50_60_70_80_90	50_60_70_80_90	50_60_70_80_90	201_202_203_204
