refresh_fabao	刷新法宝购买列表
buy_item	购买道具
silver_buy	银币购买
auction	交易所
mall_buy	商城购买道具
chase_kill	仇人追杀
tribe_ct	部落捐献
buyback_item	回购道具
mount_identify	坐骑鉴定
buy_pet	购买宠物
refresh_pet	刷新宠物购买列表
xiyuan_cost	洗元消耗
takeapart_stone	拆卸宝石
compose	合成
compose_stone	合成宝石
unlock_attr	解封随机属性
trainsoul_levelup	炼魂等级提升
get_lazyexp	领取懒人福利经验
upgrade_skill	提升技能等级
forget_skill	遗忘技能
refresh_xuanshang	刷新悬赏任务列表
accept_xuanshang	接取额外悬赏任务
quicksubmit_xuanshang	快速完成悬赏
upgrade_transfigure	强化变身
tribewar_bid	部落领土战竞价
create_tribe	创建部落
mail_item	邮件附件
mail_cost	邮件消耗
use_moneyitem	使用货币道具
use_item	使用道具
gm_command	测试指令
task	任务
tribetask	部落任务
refresh_woodtrans	刷新运送木材品质
remake_xuanstone	玄石重铸
dissolve_xuanstone	溶解玄石
backyard	后院相关
catch_mount	抓捕坐骑
refresh_pettalent	宠物洗髓
accept_task	接任务
tribe_store	部落仓库
vip	福神相关
lottery	祈福收获
starlottery	星盘收获
record_petskill	抄写宠物技能
pickup_item	捡起道具
use_treasuremap	使用藏宝图
exchange	兑换
discard_item	丢弃道具
festival	节日活动
giftbag	礼包
upgrade_equip	装备升阶
cook	部落盛宴
tribeshop	部落商店
tribetrans	部落运送
signin	每日签到
upgrade_equipquality	提升装备品质
upgrade_fabaogrid	提升法宝位
refresh_lifesap	刷新命元
anitalent	宠物兽灵
petskill	宠物技能
petgrow	宠物成长
petaptitude	宠物资质
refresh_talent	宠物洗练
pet_inherit	宠物继承
change_country	转换阵营
change_name	改名
quench_equip	淬炼装备
takeapart_item	拆解道具
sell_item	出售道具
strengthen	装备强化
bable_reward	通天塔奖励
 gold_buy	金币购买
darktower	黑暗塔
fanli	金贝开服返利卡
shengdan	圣诞活动兑换道具
refresh_merchant	刷新神秘商店
active_degree	活跃度
maze_pirze	迷仙阵
tribeskill	升级部落技能
story	剧情
give	赠送
caishen	购买财神返利卡
stonetrans_cost	宝石刷新
stonetrans_item	宝石转换
mountswallow	坐骑吞噬
mountwash	坐骑转换
mountupgrade	坐骑天元突破
mounttransshow	坐骑幻化
mountculture	坐骑培养
marry	结婚
change_sex	变性
awardpool	奖池
timeout	过期
feed	feed分享
charge	充值
